"No.","Time","Source","Destination","Protocol","Length","Info"
"2548","35.093219","192.168.159.198","192.168.159.241","OpcUa","946","UA Secure Conversation Message (Message fragment 52)"
"2549","35.093312","192.168.159.241","192.168.159.198","TCP","54","63072  >  4840 [ACK] Seq=497 Ack=8357 Win=65535 Len=0"
"2550","35.211254","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63072 [ACK] Seq=8357 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2551]"
"2551","35.211254","192.168.159.198","192.168.159.241","OpcUa","1430","UA Secure Conversation Message: CreateSessionResponse (Message Reassembled)"
"2552","35.211398","192.168.159.241","192.168.159.198","TCP","54","63072  >  4840 [ACK] Seq=497 Ack=11193 Win=65535 Len=0"
"2553","35.219421","192.168.159.241","192.168.159.198","OpcUa","171","UA Secure Conversation Message: ActivateSessionRequest"
"2554","35.234141","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2555","35.240373","192.168.159.241","192.168.159.198","OpcUa","167","UA Secure Conversation Message: ReadRequest"
"2556","35.252199","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2557","35.252353","192.168.159.241","192.168.159.198","OpcUa","117","UA Secure Conversation Message: CloseSessionRequest"
"2558","35.255893","192.168.159.241","192.168.159.198","OpcUa","111","CloseSecureChannel message: CloseSecureChannelRequest"
"2559","35.258510","192.168.159.241","192.168.159.198","TCP","66","63073  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2560","35.259973","192.168.159.198","192.168.159.241","TCP","60","4840  >  63072 [ACK] Seq=11297 Ack=848 Win=8135 Len=0"
"2561","35.268207","192.168.159.198","192.168.159.241","TCP","60","4840  >  63073 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"2562","35.268400","192.168.159.241","192.168.159.198","TCP","54","63073  >  4840 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2563","35.270622","192.168.159.241","192.168.159.198","OpcUa","116","Hello message"
"2564","35.279025","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2565","35.279122","192.168.159.241","192.168.159.198","TCP","54","63072  >  4840 [RST, ACK] Seq=848 Ack=11349 Win=0 Len=0"
"2566","35.326047","192.168.159.198","192.168.159.241","OpcUa","82","Acknowledge message"
"2567","35.328964","192.168.159.241","192.168.159.198","OpcUa","187","OpenSecureChannel message"
"2568","35.347157","192.168.159.198","192.168.159.241","OpcUa","190","OpenSecureChannel message"
"2569","35.352230","192.168.159.241","192.168.159.198","OpcUa","355","UA Secure Conversation Message: CreateSessionRequest"
"2570","35.472172","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63073 [ACK] Seq=165 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2577]"
"2571","35.472172","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63073 [ACK] Seq=1625 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2577]"
